description,industry,level,size,line_code,value,status,Unit,Footnotes
Total number of businesses,Other professional scientific,2,total,,4203,,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Administrative & support services,1,total,,1845,,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Education & training,1,total,,1182,,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Health care & social assistance,1,total,,2925,,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Arts & recreation services,1,total,,567,,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other services,1,total,,1383,,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,total,0,total,,48990,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,total,0,6–19 employees,B0300.01,5259,,Number of businesses,1 and 2 and 3 and 4 and 6
Introduce new or improved goods: Yes,total,0,20–49 employees,B0300.01,1617,,Number of businesses,1 and 2 and 3 and 4 and 6
Introduce new or improved goods: Yes,total,0,50–99 employees,B0300.01,555,,Number of businesses,1 and 2 and 3 and 4 and 6
Introduce new or improved goods: Yes,total,0,100+ employees,B0300.01,498,,Number of businesses,1 and 2 and 3 and 4 and 6
Introduce new or improved goods: Yes,"Agriculture, forestry, & fishing",1,total,B0300.01,126,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Agriculture,2,total,B0300.01,45,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Commercial fishing,2,total,B0300.01,6,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Forestry & logging,2,total,B0300.01,18,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,"Agriculture, forestry, & fishing support services",2,total,B0300.01,57,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Mining,1,total,B0300.01,18,,Number of businesses,1 and 2 and 3 and 5 and 6
Introduce new or improved goods: Yes,Manufacturing,1,total,B0300.01,1266,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,"Food, beverage, & tobacco",2,total,B0300.01,333,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,"Textile, clothing, footwear, & leather",2,total,B0300.01,66,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Wood & paper product,2,total,B0300.01,27,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,"Printing, publishing, & recorded media",2,total,B0300.01,24,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,"Petroleum, coal, chemical, & associated product",2,total,B0300.01,144,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Non-metallic mineral product,2,total,B0300.01,39,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Metal product,2,total,B0300.01,228,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Transport and industrial machinery & equipment,2,total,B0300.01,225,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Other machinery & equipment,2,total,B0300.01,87,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Other manufacturing,2,total,B0300.01,90,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,"Electricity, gas, water, & waste services",1,total,B0300.01,42,,Number of businesses,1 and 2 and 3 and 5 and 6
Introduce new or improved goods: Yes,Construction,1,total,B0300.01,666,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Wholesale trade,1,total,B0300.01,903,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Machinery & equipment wholesaling,2,total,B0300.01,279,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Other wholesale trade,2,total,B0300.01,621,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Retail trade,1,total,B0300.01,975,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Accommodation & food services,1,total,B0300.01,1008,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,"Transport, postal, & warehousing",1,total,B0300.01,180,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Information media & telecommunications,1,total,B0300.01,192,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Publishing,2,total,B0300.01,105,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Motion picture,2,total,B0300.01,33,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Telecommunications,2,total,B0300.01,48,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Financial & insurance services,1,total,B0300.01,111,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Finance,2,total,B0300.01,39,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Insurance,2,total,B0300.01,12,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Auxiliary,2,total,B0300.01,60,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,"Rental, hiring, & real estate services",1,total,B0300.01,147,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,"Professional, scientific, & technical services",1,total,B0300.01,1095,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Computer systems design,2,total,B0300.01,354,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Other professional scientific,2,total,B0300.01,741,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Administrative & support services,1,total,B0300.01,273,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Education & training,1,total,B0300.01,285,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Health care & social assistance,1,total,B0300.01,345,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Arts & recreation services,1,total,B0300.01,132,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,Other services,1,total,B0300.01,162,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: Yes,total,0,total,B0300.01,7932,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,total,0,6–19 employees,B0300.02,30234,,Number of businesses,1 and 2 and 3 and 4 and 6
Introduce new or improved goods: No,total,0,20–49 employees,B0300.02,7179,,Number of businesses,1 and 2 and 3 and 4 and 6
Introduce new or improved goods: No,total,0,50–99 employees,B0300.02,1977,,Number of businesses,1 and 2 and 3 and 4 and 6
Introduce new or improved goods: No,total,0,100+ employees,B0300.02,1602,,Number of businesses,1 and 2 and 3 and 4 and 6
Introduce new or improved goods: No,"Agriculture, forestry, & fishing",1,total,B0300.02,3630,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Agriculture,2,total,B0300.02,2412,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Commercial fishing,2,total,B0300.02,51,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Forestry & logging,2,total,B0300.02,240,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,"Agriculture, forestry, & fishing support services",2,total,B0300.02,924,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Mining,1,total,B0300.02,105,,Number of businesses,1 and 2 and 3 and 5 and 6
Introduce new or improved goods: No,Manufacturing,1,total,B0300.02,4155,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,"Food, beverage, & tobacco",2,total,B0300.02,900,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,"Textile, clothing, footwear, & leather",2,total,B0300.02,186,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Wood & paper product,2,total,B0300.02,489,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,"Printing, publishing, & recorded media",2,total,B0300.02,177,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,"Petroleum, coal, chemical, & associated product",2,total,B0300.02,303,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Non-metallic mineral product,2,total,B0300.02,171,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Metal product,2,total,B0300.02,771,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Transport and industrial machinery & equipment,2,total,B0300.02,723,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Other machinery & equipment,2,total,B0300.02,150,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Other manufacturing,2,total,B0300.02,282,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,"Electricity, gas, water, & waste services",1,total,B0300.02,165,,Number of businesses,1 and 2 and 3 and 5 and 6
Introduce new or improved goods: No,Construction,1,total,B0300.02,6774,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Wholesale trade,1,total,B0300.02,2322,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Machinery & equipment wholesaling,2,total,B0300.02,672,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Other wholesale trade,2,total,B0300.02,1650,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Retail trade,1,total,B0300.02,4098,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Accommodation & food services,1,total,B0300.02,5694,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,"Transport, postal, & warehousing",1,total,B0300.02,1494,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Information media & telecommunications,1,total,B0300.02,270,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Publishing,2,total,B0300.02,81,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Motion picture,2,total,B0300.02,111,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Telecommunications,2,total,B0300.02,75,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Financial & insurance services,1,total,B0300.02,582,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Finance,2,total,B0300.02,174,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Insurance,2,total,B0300.02,24,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Auxiliary,2,total,B0300.02,387,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,"Rental, hiring, & real estate services",1,total,B0300.02,900,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,"Professional, scientific, & technical services",1,total,B0300.02,4095,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Computer systems design,2,total,B0300.02,636,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Other professional scientific,2,total,B0300.02,3465,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Administrative & support services,1,total,B0300.02,1572,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Education & training,1,total,B0300.02,897,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Health care & social assistance,1,total,B0300.02,2580,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Arts & recreation services,1,total,B0300.02,435,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,Other services,1,total,B0300.02,1218,,Number of businesses,1 and 2 and 3 and 6
Introduce new or improved goods: No,total,0,total,B0300.02,40992,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,total,0,6–19 employees,B0401,3453,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods developed by business,total,0,20–49 employees,B0401,1020,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods developed by business,total,0,50–99 employees,B0401,342,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods developed by business,total,0,100+ employees,B0401,318,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods developed by business,"Agriculture, forestry, & fishing",1,total,B0401,69,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Agriculture,2,total,B0401,30,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Commercial fishing,2,total,B0401,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Forestry & logging,2,total,B0401,12,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,"Agriculture, forestry, & fishing support services",2,total,B0401,24,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Mining,1,total,B0401,9,,Number of businesses,1 and 2 and 3 and 5 and 6
New or improved goods developed by business,Manufacturing,1,total,B0401,957,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,"Food, beverage, & tobacco",2,total,B0401,273,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,"Textile, clothing, footwear, & leather",2,total,B0401,45,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Wood & paper product,2,total,B0401,18,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,"Printing, publishing, & recorded media",2,total,B0401,12,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,"Petroleum, coal, chemical, & associated product",2,total,B0401,123,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Non-metallic mineral product,2,total,B0401,24,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Metal product,2,total,B0401,147,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Transport and industrial machinery & equipment,2,total,B0401,174,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Other machinery & equipment,2,total,B0401,69,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Other manufacturing,2,total,B0401,72,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,"Electricity, gas, water, & waste services",1,total,B0401,21,,Number of businesses,1 and 2 and 3 and 5 and 6
New or improved goods developed by business,Construction,1,total,B0401,318,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Wholesale trade,1,total,B0401,540,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Machinery & equipment wholesaling,2,total,B0401,153,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Other wholesale trade,2,total,B0401,384,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Retail trade,1,total,B0401,486,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Accommodation & food services,1,total,B0401,756,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,"Transport, postal, & warehousing",1,total,B0401,141,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Information media & telecommunications,1,total,B0401,150,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Publishing,2,total,B0401,87,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Motion picture,2,total,B0401,27,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Telecommunications,2,total,B0401,33,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Financial & insurance services,1,total,B0401,66,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Finance,2,total,B0401,24,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Insurance,2,total,B0401,9,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Auxiliary,2,total,B0401,39,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,"Rental, hiring, & real estate services",1,total,B0401,60,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,"Professional, scientific, & technical services",1,total,B0401,912,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Computer systems design,2,total,B0401,321,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Other professional scientific,2,total,B0401,594,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Administrative & support services,1,total,B0401,177,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Education & training,1,total,B0401,204,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Health care & social assistance,1,total,B0401,111,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Arts & recreation services,1,total,B0401,81,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,Other services,1,total,B0401,69,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business,total,0,total,B0401,5133,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,total,0,6–19 employees,B0402,1332,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods developed by business in partnership,total,0,20–49 employees,B0402,447,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods developed by business in partnership,total,0,50–99 employees,B0402,177,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods developed by business in partnership,total,0,100+ employees,B0402,225,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods developed by business in partnership,"Agriculture, forestry, & fishing",1,total,B0402,27,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Agriculture,2,total,B0402,9,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Commercial fishing,2,total,B0402,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Forestry & logging,2,total,B0402,0,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,"Agriculture, forestry, & fishing support services",2,total,B0402,18,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Mining,1,total,B0402,6,,Number of businesses,1 and 2 and 3 and 5 and 6
New or improved goods developed by business in partnership,Manufacturing,1,total,B0402,390,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,"Food, beverage, & tobacco",2,total,B0402,126,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,"Textile, clothing, footwear, & leather",2,total,B0402,21,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Wood & paper product,2,total,B0402,9,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,"Printing, publishing, & recorded media",2,total,B0402,6,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,"Petroleum, coal, chemical, & associated product",2,total,B0402,51,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Non-metallic mineral product,2,total,B0402,6,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Metal product,2,total,B0402,75,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Transport and industrial machinery & equipment,2,total,B0402,51,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Other machinery & equipment,2,total,B0402,27,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Other manufacturing,2,total,B0402,21,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,"Electricity, gas, water, & waste services",1,total,B0402,21,,Number of businesses,1 and 2 and 3 and 5 and 6
New or improved goods developed by business in partnership,Construction,1,total,B0402,117,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Wholesale trade,1,total,B0402,315,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Machinery & equipment wholesaling,2,total,B0402,87,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Other wholesale trade,2,total,B0402,228,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Retail trade,1,total,B0402,222,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Accommodation & food services,1,total,B0402,342,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,"Transport, postal, & warehousing",1,total,B0402,36,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Information media & telecommunications,1,total,B0402,66,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Publishing,2,total,B0402,33,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Motion picture,2,total,B0402,9,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Telecommunications,2,total,B0402,21,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Financial & insurance services,1,total,B0402,51,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Finance,2,total,B0402,21,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Insurance,2,total,B0402,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Auxiliary,2,total,B0402,27,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,"Rental, hiring, & real estate services",1,total,B0402,42,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,"Professional, scientific, & technical services",1,total,B0402,204,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Computer systems design,2,total,B0402,78,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Other professional scientific,2,total,B0402,129,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Administrative & support services,1,total,B0402,75,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Education & training,1,total,B0402,63,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Health care & social assistance,1,total,B0402,102,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Arts & recreation services,1,total,B0402,51,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,Other services,1,total,B0402,42,,Number of businesses,1 and 2 and 3 and 6
New or improved goods developed by business in partnership,total,0,total,B0402,2181,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,total,0,6–19 employees,B0403,879,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods obtained from others and improved,total,0,20–49 employees,B0403,237,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods obtained from others and improved,total,0,50–99 employees,B0403,63,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods obtained from others and improved,total,0,100+ employees,B0403,57,,Number of businesses,1 and 2 and 3 and 4 and 6
New or improved goods obtained from others and improved,"Agriculture, forestry, & fishing",1,total,B0403,30,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Agriculture,2,total,B0403,6,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Commercial fishing,2,total,B0403,0,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Forestry & logging,2,total,B0403,9,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,"Agriculture, forestry, & fishing support services",2,total,B0403,18,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Mining,1,total,B0403,3,,Number of businesses,1 and 2 and 3 and 5 and 6
New or improved goods obtained from others and improved,Manufacturing,1,total,B0403,141,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,"Food, beverage, & tobacco",2,total,B0403,9,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,"Textile, clothing, footwear, & leather",2,total,B0403,6,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Wood & paper product,2,total,B0403,3,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,"Printing, publishing, & recorded media",2,total,B0403,6,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,"Petroleum, coal, chemical, & associated product",2,total,B0403,12,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Non-metallic mineral product,2,total,B0403,6,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Metal product,2,total,B0403,27,,Number of businesses,1 and 2 and 3 and 6
New or improved goods obtained from others and improved,Transport and industrial machinery & equipment,2,total,B0403,48,,Number of businesses,1 and 2 and 3 and 6
